2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7
,,,,,an election widely believed to have been rigged,We will hold those responsible for the thuggery deployed ,,,AI systems do not exacerbate historical gender biases ,Spain grapples with the double whammy of a deadly storm.,,,,,Aides then evicted a large and chaotic press pack,Beijing’s stringent censorship means that such dissent is not tolerated
,,,,,The army was not enough to quell the protesters ,for fear of reprisals ,,,Bangladesh took a delegation of camp leaders,hallmarks of Isis whose remnants have melted into towns,,,,,Putin brought his own list of grievances to Geneva in his first trip abroad since the outbreak of the coronavirus in 2020.,Sun is one of a growing number of Chinese academics who have been ostracised in today’s China because of their interpretation of history.
,,,,,The savage beating of protesters served only to galvanise the insurrectinary mood,Some women said they were plied with drinks ,,,There have been allegation made against guards of sexual assault ,the first bomber claimed he was ill and detonated his device ,,,,,"In a meeting seen as deeply embarrassing for the US, Trump appeared to kowtow to Putin by rejecting his own FBI’s assessment that Russia had interfered in the 2016 US presidential elections.","In Xinjiang, where rights organisations say at least 1 million Uyghur Muslims are being incarcerated for “re-education”, the authorities have selected 100 “red films” to showcase the party’s immense achievements."
,,,,,"over 100,000 had converged on the center of Minsk",,,,refugees have been listed without their consent,It happened in mid-morning when the market was teeming with people,,,,,The strikes late on Thursday came after activists mobilised by Gaza’s militant Hamas rulers launched incendiary balloons into Israel for a third day running.,"It’s a tricky balance. Clever businesspeople have tried to capitalise on the moment, leading China’s market regulator last month to clamp down on what it deemed as “hyping and profiting”."
,,,,,appears to have settled on propping up the authoritarian ,,,,criminalizing benign acts of protest,demonstrators have also been accused of sedition ,,,,,Controversial new labour laws set to shake up working life in Greece,"In January, China’s president, Xi Jinping, who is also the general secretary of the Communist party, told his cadres that regardless of the upheaval in the world, China was “invincible”."
,,,,,The dead elephants were found with the tusks for ivory traders,,,,Lai was suspected of collusion with foreign forces,the authorities are attempting to clamp down on an unprecedented youth-led pro-democracy movement,,,,,The passage of legislation described as antediluvian by opponents and positively life-changing by supporters came within hours of the EU’s top executive arriving in Athens on Thursday to endorse a post-pandemic recovery plan for the country.,"On 23 July, they convened in Shanghai’s French Concession and held the first “national congress”."
,,,,,No vultures were affected ,,,,Jimmy Las has been denied bail,its behavior had reached the egregious level of genocide ,,,,,"Ursula von der Leyen, said in a speech at Athens’s ancient agora as the prime minister, Kyriakos Mitsotakis, stood next to her","IT minister Ashwini Vaishnaw denied the “over-the-top” media reports, which he described as “an attempt to malign Indian democracy and its well-established institutions”."
,,,,,,,,,Apple Daily newspaper was raided by police earlier this year,is planning not to back the government either by abstaining or voting against,,,,,"The jubilant scenes were in stark contrast to the strikes, demonstrations and fiery debate that had unfolded before MPs late on Wednesday voted through labour reforms likened by the veteran trade unionist Grigoris Kalomiris to “Thatcherite policies on steroids","Carine Kanimba, the American daughter of Paul Rusesabagina, the imprisoned Rwandan activist who inspired the film Hotel Rwanda, has been victim of multiple attacks using NSO spyware, according to a forensic analysis of her mobile phone, although Rwanda denies it has the NSO technology."
,,,,,,,,,Right activists have accused Iran of arresting a number of dual nations to try to win concessions from other countries,"”what bad things could happen to me”, he quipped ",,,,,"For Mitsotakis, a former banker bent on modernising the economy, the workplace changes are long overdue",Team GB’s preparations for the Olympics have been plunged into chaos after six athletes and two staff members from the athletics squad were forced to self-isolate after coming into close contact with a member of the public who had Covid-19 on their flight to Tokyo.
,,,,,,,,,"Human lives just pawns in international politics, tit for tat",hundreds of supporters defied a ban to meet the returning dissident,,,,,"Opposition parties have decried the reforms, arguing they roll back long-established workers’ rights in the name of flexibility and EU diktats that erode legal protections.","When a threat as large as this emerges, imperilling fundamental rights such as the right to free speech, journalists need to come together."
,,,,,,,,,"The UN human right rapporteur, Agnes",The authorities closed the airport and diverted Navalny’s plain to Sheremetyevo,,,,,Finished till 18th,Where are they stashing their documents?
,,,,,,,,,Ethiopian police issued arrest warrants for 17 more officers,the row escalated on Saturday after 〜,,,,,"Ebrahim Raisi, the hardline head of Iran’s judiciary, has been hailed the country’s new president after his three main rivals congratulated him on his victory and preliminary results showed he had secured 17.8m votes, a huge 14.5m more than his nearest rival.",it is a way to deprive millions of citizens of independent information about their own governments
,,,,,,,,,,vaccine nationalism would only to serve to dwar out the Covid crisis,,,,,Rouhani’s presidency became increasingly unpopular as the US imposed sanctions that deprived ordinary Iranians of the economic benefits he had promised would come from signing the 2015 nuclear deal with Washington.,This is a worldwide scandal – a global web of surveillance whose scope is without precedent.
,,,,,,,,,,the move proved the need for an immediate overhaul of the bloc’s treatment of Northen Ireland,,,,,"Homophobia is a huge problem in Poland … there are lots of people who can’t cope with it, they kill themselves. The situation of LGBT people in Poland is tragic and that’s why I’m here – to support them.","For the remaining 30, the tests were inconclusive, in several cases because the handsets had been replaced."
,,,,,,,,,,J&J said its vaccine had 72% efficacy in preventing Covid in US trials,,,,,Politicians and clergy have been accused of stoking homophobia in Poland,"Forbidden Stories, a Paris-based nonprofit media organisation, and Amnesty International initially had access to the leaked list and shared access with media partners as part of the Pegasus project, a reporting consortium."
,,,,,,,,,,government tries to create fissures among farmers,,,,,Tens of millions of Ethiopians are expected to vote on Monday in crucial elections that could provide a launchpad for controversial prime minister Abiy Ahmed to consolidate his increasingly authoritarian rule.,"On the eve of the 26 May election, the United States, Britain, France, Germany and Italy said the poll was “neither free nor fair”, and Syria’s fragmented opposition has called it a “farce”"
,,,,,,,,,,The state government ordered the farmers to vacate the Ghazipur protest site,,,,,"Just over a fifth of more than 500 parliamentary constituencies are not voting due to logistical problems, violence or the war in Tigray.","Assad, 55, was sworn in on Syria’s constitution and the Koran in the presence of more than 600 guests, including ministers, businessmen, academics and journalists, organisers said."
,,,,,,,,,,official conceded that a block was possible ,,,,,"Federal troops forced the TPLF to abandon its stronghold of Mekelle, Tigray’s capital, after six weeks of fighting but have struggled to end an ongoing insurgency.","Shortly before the ceremony, rockets fired by pro-government forces killed six people including three children and a rescue worker in the country’s last major rebel bastion of Idlib, the Syrian Observatory for Human Rights said."
,,,,,,,,,,"with national vaccine plans in tatters, and AstraZeneca refusing to divert doses made at sites",,,,,"But now there is a very costly stalemate, it is much more of a problem for [Abiy]","President Bashar al-Assad took the oath of office for a fourth term in war-ravaged Syria on Saturday, after officially winning 95% of the vote in an election dismissed abroad."
,,,,,,,,,,with scant sign of the bloc’s vaccination drive gaining momentum ,,,,,It confirms in a large UK cohort that coffee drinking is protective against severe liver disease,There has been widespread dismay from public health officials at the prime minister’s claim that people must “learn to live” with Covid and “exercise their personal responsibility”.
,,,,,,,,,,"Nikita, a prominent political activist and pundit on state television",,,,,"To recover from the most wide-reaching and severe cascade of human rights setbacks in our lifetimes, we need a life-changing vision, and concerted action","However, Johnson risks being accused of double standards as the government continues to urge the public to isolate if they are told to do so."
,,,,,,,,,,scuffles broke out between police and demonstrators ,,,,,"Canada urged China to allow “immediate, meaningful and unfettered access” so independent observers can visit its western Xinjiang region, where UN experts say nearly a million Uyghurs and other Turkic Muslims have been detained in camps.","While it is too early to tell whether the militants’ advance will spark a fresh exodus of Afghan refugees outside the country’s borders, according to the UN Refugee Agency, since January about 270,000 people have fled their homes and are internally displaced, bringing the total uprooted population within Afghanistan to more than 3.5 million people."
,,,,,,,,,,the kind of lengthy prison sentence that could turn him into a political martyr.,,,,,UK eases Covid travel rules for tourist spots despite cabinet rift,"the Taliban claim to be in control of 85% of the country, kindling fears of renewed civil war."
,,,,,,,,,,I will not return home till the laws are repealed,,,,,"Malta is to be added to all UK governments’ green lists from next Wednesday at 4am, and the Balearic islands, Madeira and Israel are being moved from the amber list to the “green watchlist”",“I am extremely dismayed to see the very rapid rate of increasing infections in a population that is vaccinated pretty much like we are.”
,,,,,,,,,,But flag-waving protesters on at least four major arteries climbed over,,,,,"The health secretary, Matt Hancock, who vetoed Malta being added to the green list three weeks ago, is said to be one of the ministers most wary of unlocking international travel",An adviser to New Zealand’s government told the summit he and his colleagues were astounded at the approach being taken in England.
,,,,,,,,,,Another meeting will be convened on Wednesday ,,,,,The relative lack of vaccination coverage across the EU has led to fears the variant could inflict a heavier death toll in the 27 member states than in Britain.,"Government advisers in New Zealand, Israel and Italy were among those who sounded alarm bells about the policy, while more than 1,200 scientists backed a letter to the Lancet journal warning the strategy could allow vaccine-resistant variants to develop."
,,,,,,,,,,the company must live up to its contractual obligations,,,,,Images of the aftermath of the bombing appeared to show extensive civilian casualties,"Boris Johnson’s plan to lift virtually all of England’s pandemic restrictions on Monday is a threat to the world and provides fertile ground for the emergence of vaccine-resistant variants, international experts say."
,,,,,,,,,,China would not swayed by criticism of its human rights record.,,,,,The US state department described it as a “reprehensible act”,It's an injury-prone error
,,,,,,,,,,,,,,,"The conflict in Tigray has been marked by a series of atrocities, including multiple massacres and systematic rape of civilians","As Germans prepare to go to the polls in September to choose a successor to Merkel, the extreme weather could heighten awareness of global heating, a topic with which the Greens, running second to Merkel’s conservatives, have so far failed to dominate the agenda."
,,,,,,,,,,,,,,,"China is using its unprecedented economic clout across vast swathes of Asia and the Middle East to target Uyghur Muslims living beyond its borders through a sprawling system of transnational repression, a new report says.","“Climate change has arrived in Germany,” the environment minister said, as the country reeled from the sight of destroyed buildings, upended cars and people stranded on rooftops."
,,,,,,,,,,,,,,,"Standing idly while the government of China targets its citizens abroad with impunity also undermines the credibility of states to protect those within their borders, including their own citizens.",At least 58 people have died and dozens more are missing in Germany after much of western Europe was inundated by record rainfall that brought devastating floods.
,,,,,,,,,,,,,,,"As China expands its role globally through the BRI, more states will likely become locked into relations of dependence, increasing China’s ability to coerce or co-opt them to assist in targeting diaspora members and exiles","Zuma’s jailing was a significant victory for the moderate and pragmatic faction of the ANC and there is evidence that followers of the former leader instigated at least some of the unrest in a deliberate effort to undermine rivals, possibly opening a way to a return to power or at the very least protecting their economic interests."
,,,,,,,,,,,,,,,We condemn this attack on our colleagues in the strongest possible terms and will be relentless in understanding what happened,"The billions of dollars of damage are a massive setback to an already weak economy, with investor confidence undermined and South Africa’s image as a regional leader badly tarnished."
,,,,,,,,,,,,,,,"The ship was built in Quebec and was launched in 1845, the very year that the Potato Blight struck Ireland","“The taxi industry … strongly warns those with intentions to loot to desist from any attempts as they will find the industry waiting,” said Abner Tsebe, the chair of the South African National Taxi Council. “It is … in our interests to stand against this form of outrageous thuggery.”"
,,,,,,,,,,,,,,,"While many factors contributed to the hardship of the time, the famine was precipitated by a total failure of the potato crop in Ireland in 1845, due to potato blight","In Soweto, a historic former township and now suburb of Johannesburg, residents mounted guard over the only mall that has not been ransacked."
,,,,,,,,,,,,,,,Latest government statistics show a lengthening backlog of applications,"Though the unrest appeared to have subsided on Tuesday, scattered incidents of violence and arson were reported, with warehouses looted and burned in several locations."
,,,,,,,,,,,,,,,Monique Hawkins of the3million said an indication of how many EU citizens were “scrabbling” to obtain a certificate of application was evidenced by the number of people reporting being stuck in a queue after accessing the government’s settled status website.,Senior officials in South Africa have appealed to ordinary citizens not to take the law into their own hands as vigilante groups form following days of unchecked looting and violent protests across a swath of the country.
,,,,,,,,,,,,,,,“There are a lot of complex applications trying to get through which are being stymied by people not being able to get help,"“We were stuck in the international transit area for 16 days,”"
,,,,,,,,,,,,,,,"Myanmar’s security forces punched, slapped and beat a US journalist and kept him blindfolded for more than a week of interrogation, he said after being deported to the United States following more than three months in detention.",The costs of rehabilitating waterways infested with goldfish is substantial.
,,,,,,,,,,,,,,,The junta has said detainees are treated in accordance with the law.,"Goldfish have received less attention than other invasive species, including Asian carp and zebra mussels, but warnings have been issued in Virginia and Washington state as well as Australia and Canada."
,,,,,,,,,,,,,,,I was not allowed to stand up. My legs were swollen.,"officials in Burnsville, about 15 miles south of Minneapolis, said released goldfish can grow to several times their normal size and wreak havoc on indigenous species."
,,,,,,,,,,,,,,,"“My deepest condolences to the families, the friends, the communities of those who’ve lost their lives, and my prayers are with the families and the whole community as they mourn this tragic loss.”",“His way of acting could put the country in jeopardy.
,,,,,,,,,,,,,,,"The cause of the catastrophe is not known, but it was revealed on Saturday that consultants flagged “major structural damage” to the 40-year-old tower in 2018 and recommended repairs that were not carried out.","Moïse’s murder threatens to aggravate an already desperate situation in Haiti, which was facing a political deadlock, economic turmoil, a wave of kidnappings and violence, and an accelerating Covid crisis."
,,,,,,,,,,,,,,,"Friends and families of the missing received updates at a hotel, many breaking down as they learned crews had found remains. There was an increasing sense of frustration at a perceived slow trickle of information.",Semana published extracts from a WhatsApp message sent by one of the jailed Colombians – a former army sergeant called Ángel Mario Yarce – in which he told his wife their job was to provide close protection to high-profile dignitaries.
,,,,,,,,,,,,,,,"We have a lot of powerful water movement, we’ve got rising sea levels, we’ve got a water table that’s been saturated with salt water","The latest man to be arrested was named as Gersaín Mendivelso Jaimes, another former member of Colombia’s military who had served in the naval hospital in Cartagena, on the country’s Caribbean coast."
,,,,,,,,,,,,,,,a convoluted argument/explanation,"“He’s no mercenary, he’s a good man,”"
,,,,,,,,,,,,,,,a book with a convoluted plot,"“To think that foreign intervention is a solution to this is mind-boggling,”"
,,,,,,,,,,,,,,,to get (= understand) the gist of an argument,"“This was planned by people who know him and people who know the house,” Raymond claimed, voicing bewilderment that none of Moïse’s bodyguards were reportedly injured during the assault. “Not even his dogs!” Raymond added."
,,,,,,,,,,,,,,,I missed the beginning of the lecture—can you give me the gist of what he said?,"However, opposition politicians and media reports in Haiti and Colombia are now casting doubt on that version, as uncertainty grips the Caribbean country and the streets of the capital remain eerily quiet amid fears Haiti is lurching into a new phase of political and social upheaval"
,,,,,,,,,,,,,,,The newspapers are full of stories of leukaemia clusters near nuclear establishments.,"une’s vote, which had been postponed twice because of the Covid-19 pandemic and logistical problems, was largely peaceful, but opposition parties decried harassment and intimidation."
,,,,,,,,,,,,,,,The interim government of Ethiopia’s war-hit Tigray region has fled as rebel fighters advanced into the region’s capital and the national government announced a “unilateral ceasefire”,"Abiy oversaw dramatic political reforms, but critics say he is backtracking from some promises on political and media freedoms."
,,,,,,,,,,,,,,,I am hopeful that an effective cessation of hostilities will take place.,Conditions there and at the sites of dozens of other blazes throughout the country were tinder dry.
,,,,,,,,,,,,,,,"The rebel fighters, known as Tigrayan Defence Forces (TDF), appeared to have been subdued, but in recent weeks they launched a series of counteroffensives, and a surge in fighting coincided with Ethiopia’s national elections earlier this month","Afghan government negotiators say that after months of military gains the group has become openly contemptuous, and has described negotiations as “surrender talks”"
,,,,,,,,,,,,,,,"He had accused Abbas and his inner circle of rampant corruption and growing authoritarianism and planned to stand as a political candidate in long-delayed Palestinian elections, which were supposed to be held in May","Nine officials from the militant group, which is eager for political recognition to bolster the impact of its military victories across much of Afghanistan, met China’s foreign minister, Wang Yi, in the coastal city of Tianjin on Wednesday."
,,,,,,,,,,,,,,,"After he was martyred, he became a symbol for every Palestinian,” said Muhannad Karajah, the family’s lawyer","Unless Russia intervenes to put an end to the fighting and broker a ceasefire, the fighting will result in even more civilian deaths and displacement, and likely the subjugation of Deraa al-Balad under full regime control."
,,,,,,,,,,,,,,,"Dissident leaders of Ethiopia’s war-hit Tigray region have dismissed a government ceasefire declaration and vowed to drive out “enemies” from the region, after rebel fighters advanced on the Tigrayan capital.",Tit-for-tat bombings and assassinations between former opposition figures and regime forces have since become routine.
,,,,,,,,,,,,,,,"Peter Smerdon, a spokesperson for the World Food Programme in Nairobi, said it had been forced to suspend operations in Tigray in the turbulence of recent days, but was now pressing for “full and immediate access” so that aid supplies could resume quickly.","Bashar al-Assad has attacked a former opposition stronghold with missiles and artillery shelling in an attempt to crush a simmering insurrection, in an unprecedented development in Syria’s decade-long war."
,,,,,,,,,,,,,,,Works by 20th-century masters recovered nearly a decade after audacious burglary,Saied’s moves followed protests by Tunisians who are fed up with years of economic malaise – made worse by one of Africa’s worst Covid-19 outbreaks – and political paralysis.
,,,,,,,,,,,,,,,Their recovery was greeted with elation in Athens.,Kais Saied’s crackdown has dragged the country deeper into uncertainty days after its elected parliament was suspended for a month in a shock move that brought a decade of faltering democracy to a sudden halt.
,,,,,,,,,,,,,,,"“It is an indisputable fact that in the discovery and recovery [of the works] my client played a decisive role,” he said, adding he had cooperated fully with the authorities and ultimately helped them unearth the paintings.","Tunisia’s president has launched a purge of senior officials, including prosecutors and judges, and taken on judicial powers, days after overthrowing the prime minister and imposing emergency law."
,,,,,,,,,,,,,,,,"Places that did not suffer “the most egregious effects of societal collapses and are therefore able to maintain significant populations” have been described as “collapse lifeboats”, the study said."
,,,,,,,,,,,,,,,,"The study, published in the journal Sustainability, said: “The globe-spanning, energy-intensive industrial civilisation that characterises the modern era represents an anomalous situation when it is considered against the majority of human history."
,,,,,,,,,,,,,,,,"To assess which nations would be most resilient to such a collapse, countries were ranked according to their ability to grow food for their population, protect their borders from unwanted mass migration, and maintain an electrical grid and some manufacturing ability."
,,,,,,,,,,,,,,,,The researchers said human civilisation was “in a perilous state” due to the highly interconnected and energy-intensive society that had developed and the environmental damage this had caused.
,,,,,,,,,,,,,,,,"“It’s really appalling that we have solutions to save salmon, but we’re not doing it,” said Sampson."
,,,,,,,,,,,,,,,,"“That’s how bad I felt,” said Sampson, who is also hereditary chief of the Walla Walla tribe."
,,,,,,,,,,,,,,,,"The salmon in the video won’t be able to spawn in the tributary, and are expected to die from disease and heat stress."
,,,,,,,,,,,,,,,,"The conservation group recorded the video following the heatwave on a day when water temperatures breached 70F (21C), a lethal temperature for these anadromous fish if they are exposed to it for long periods.   ⇆catadromous"
,,,,,,,,,,,,,,,,"He described the sockeye as veering off to the Little White Salmon River, a tributary of the Columbia River where the video was recorded, in an effort to essentially “escape a burning building"
,,,,,,,,,,,,,,,,"In a video released on Tuesday by the non-profit organization Columbia Riverkeeper, a group of sockeye salmon swimming in a tributary of the river can be seen covered in injuries the group say are the results of stress and overheating."
,,,,,,,,,,,,,,,,"Salmon in the Columbia River were exposed to unlivable water temperatures that caused them to break out in angry red lesions and white fungus in the wake of the Pacific north-west’s record-shattering heatwave, according to a conservation group that has documented the disturbing sight."
,,,,,,,,,,,,,,,,"Observers, however, are already warning that the decision to invoke article 80 of the constitution, which allows the president to take “exceptional measures in the event of imminent danger”, effectively translates to total executive power for an unspecified period of time."
,,,,,,,,,,,,,,,,Videos have circulated on social media showing dead bodies left in the middle of wards as morgues struggle to deal with growing deaths.
,,,,,,,,,,,,,,,,"thousands of people defied Covid-19 restrictions and scorching summer temperatures in demonstrations which sparked clashes with security forces in several cities on Sunday, ahead of Saied’s announcement."
,,,,,,,,,,,,,,,,"Tunisia’s small army, which is widely seen as being outside politics, was met with an almost rapturous reception by protesters when it deployed overnight, even as soldiers surrounded parliament and blocked the parliamentary speaker, veteran Ennahda leader Rached Ghannouchi, from entering the building."
,,,,,,,,,,,,,,,,"At the same time, Tunisians’ anger at one of Africa’s worst virus outbreaks, and the fractious political class’s inability to tackle the county’s chronic economic problems, has finally boiled over."
,,,,,,,,,,,,,,,,"Its journalists were expelled from the premises and phones, computers and other equipment confiscated."
,,,,,,,,,,,,,,,,"The capital, Tunis, was flooded with jubilant crowds waving flags, letting off fireworks and honking car horns after Saied’s declaration in scenes reminiscent of the 2011 protests which toppled the country’s longtime autocratic ruler, Zine El Abidine Ben Ali."
,,,,,,,,,,,,,,,,"Often touted as the lone success story of the Arab spring revolutions a decade ago, Tunisia is facing a critical challenge to its fledgling democracy after its president suspended parliament and dismissed his prime minister in what critics described as a coup"
,,,,,,,,,,,,,,,,It’s more debilitating than people realise.
,,,,,,,,,,,,,,,,"On Friday, Prof Robert West, a health psychologist at University College London and scientific adviser to the government, accused ministers of allowing infections to rip through the younger population in an effort to bolster levels of immunity before the NHS faces winter pressures."
,,,,,,,,,,,,,,,,"During the first weekend after the majority of Covid restrictions were lifted in England there were pictures of crowded nightclubs, filled with revellers not wearing masks or social distancing."
,,,,,,,,,,,,,,,,"As that issue has receded from the political agenda, his focus has shifted to gender and sexuality."
,,,,,,,,,,,,,,,,"Typhoon In-fa, which has churned off the country’s eastern coast and dumped rain on Taiwan before blowing towards China, intensified the seasonal downpours, forecasters said."
,,,,,,,,,,,,,,,,Teodoro blamed years of illegal logging in nearby mountains and heavy siltation in the Marikina River for constant flooding in his city.
,,,,,,,,,,,,,,,,"Since the enactment of the anti-foreign sanctions law last month, Beijing’s decision to impose counter-sanctions has been expected, but the timing of it is indicative of the deteriorating US-China relations."
,,,,,,,,,,,,,,,,"Like NSO, which remonstrates that its company fights terror and paedophiles, Netanyahu portrayed Israel as saving the world."
,,,,,,,,,,,,,,,,"In the popular imagination, hi tech is the modern incarnation of Israel’s plucky pioneering spirit that once made the desert bloom."
,,,,,,,,,,,,,,,,The ensuing ice cream fever offers a penetrating view into Israel’s public priorities.
,,,,,,,,,,,,,,,,"after extraordinary revelations that the Israeli company NSO Group’s mercenary cyber-surveillance tool, Pegasus, was allegedly used to target political dissidents, human rights activists, journalists and politicians around the world, Israel should be asking itself a few questions."
,,,,,,,,,,,,,,,,"The protocol underscores that the court has sole responsibility for adjudicating on questions of EU law, a point officials say is a foundation stone of the EU’s legal order that cannot be changed."
,,,,,,,,,,,,,,,,"The UK’s attempt to renegotiate has exasperated EU decision-makers, who have already proposed changes to lessen the impact on Northern Irish citizens."
,,,,,,,,,,,,,,,,"The US is “at another pivotal moment in this pandemic” as rising Covid-19 cases show no signs of abating, driven by the Delta variant, and some hospitals are filling up, especially in areas with low vaccination rates, government officials warned on Thursday."
,,,,,,,,,,,,,,,,"The figure is believed to include the 12 previously reported deaths in the capital and another four in the nearby city of Gongyi as 14 reservoirs overflowed, causing flooding and landslides."
,,,,,,,,,,,,,,,,"The city’s weather bureau said more than 552mm of rain had fallen between 7pm on Monday and 7pm on Tuesday, including 202mm between 4pm and 5pm on Tuesday."
,,,,,,,,,,,,,,,,"Days of torrential rain and massive flooding have hit China’s Henan province, bursting the banks of rivers, overwhelming dams and the public transport system and forcing thousands of people to evacuate their homes."
,,,,,,,,,,,,,,,,"Meanwhile, speaking at a press conference on Wednesday, the IOC president, Thomas Bach, gave a curt response when asked about the women’s players taking a knee."
,,,,,,,,,,,,,,,,"However, sanctions are still threatened for any protests made on the medal podium."
,,,,,,,,,,,,,,,,"The International Olympic Committee and Tokyo 2020 organisers have banned their social media teams from posting pictures of athletes taking the knee at these Olympic Games, the Guardian can reveal."
,,,,,,,,,,,,,,,,Several other international businesses and investors have pulled out of Israeli settlements or instigated secondary boycotts of companies involved in settlement-building in recent years.
,,,,,,,,,,,,,,,,"The BDS movement applauded Ben & Jerry’s decision as “a decisive step towards ending the company’s complicity in Israel’s occupation and violations of Palestinian rights”, but called upon the company to do more."
,,,,,,,,,,,,,,,,The town capitulated after a three-week siege.
,,,,,,,,,,,,,,,,"Israel’s foreign minister, Yair Lapid, called the decision “a shameful capitulation to antisemitism” and said he would take up the issue with the more than 30 states that have legislation against the BDS movement which advocates boycotts, divestment and sanctions against Israeli institutions and businesses."
